,채용시작일,채용마감일,기업,직무,근무위치,경력,고용형태,업무소개,자격조건,우대사항
10,상시 채용,상시 채용,트릿지,머신러닝,"서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",3 ~ 10년,정규직,"이러한 목표를 함께 이루고자 합니다:
트릿지의 Machine Learning Engineer 는 창의적인 사고를 바탕으로 머신러닝을 비롯한 데이터 프로세싱 기술을 활용하여 비즈니스를 혁신하는 솔루션을 만드는 역할을 수행하며, 데이터 이니셔티브에 대해 소프트웨어 개발자, 데이터베이스 설계자, 데이터 분석가를 지원하고 진행 중인 프로젝트 전반에 걸쳐 최적의 데이터 전달 아키텍처가 일관되도록 보장하는 책임을 가지고 있습니다.
이러한 업무를 주도적으로 수행합니다:
- 비즈니스 요구 사항에 부합하는 머신러닝 애플리케이션을 개발 프로젝트를 리드합니다.
- 방대한 양의 누적 데이터를 분석하여 예측 값을 도출해냅니다.
- 새로운 API를 구축하여 데이터 볼륨과 복잡성의 지속적인 증가에 기여합니다.
- 데이터 변환 및 정제, 기능 개발, 모델 구현에 대한 전반적인 업무에 참여합니다.
- 프로젝트 범위 지정, 데이터 요구 사항, 모델링 전략 및 배포 요구사항 등을 포함한 머신러닝 시스템을 설계합니다.
- 백엔드 엔지니어 및 데이터 엔지니어와 긴밀하게 협력하여 머신러닝 모델을 개발합니다.
- 커스텀 데이터 알고리즘을 개발합니다.
- 코드 리뷰에 참여하여 코드 품질을 보장하고 공유함으로써 팀의 실력 향상에 기여합니다.","이러한 역량과 경험이 있는 분들을 찾습니다:
- 컴퓨터공학 또는 관련 분야의 학사 학위를 취득하신 분
- 데이터 사이언티스트 또는 머신 러닝 엔지니어로서 3년 이상의 경험을 보유하신 분
- 구조화되지 않은 비정형 데이터에 대한 탄탄한 분석 스킬을 보유하신 분 (데이터 수집, 분석, 해석 및 시각화 포함)
- 데이터 과학 개념에 익숙하신 분
- 머신 러닝 기술에 대한 지식을 보유하신 분
- SQL, Python 언어 사용에 능숙하신 분
- Jupyter Notebook, TensorFlow, Pytorch 사용 경험이 있으신 분
- 높은 엔지니어링 역량으로 성공적인 머신러닝 프로젝트를 구축할 수 있는 분","이러한 강점이 있다면 더욱 좋습니다:
- 빅데이터 툴 경험을 보유하신 분 ( Hadoop, Spark, Kafka 등)
- Postgres 및 HBASE, Apache Cassandra 등을 포함한 관계형 SQL 및 NoSQL 데이터베이스 경험을 보유하신 분
- NoSQL 데이터베이스 사용 경험이 있으신 분
- 머신 러닝 프레임워크 사용 경험이 있으신 분
- 데이터 모델, 데이터 마이닝 및 세분화 기술에 대한 전문성을 갖추신 분
- SQL 데이터베이스 설계에 대한 실무 경험이 있으신 분
- 데이터 랭글링(Data Wrangling) 경험이 있으신 분
- 영어로 커뮤니케이션 할 수 있는 능력 (비즈니스 레벨은 필요하지만 유창함은 필요하지 않음)"
11,상시 채용,상시 채용,트릿지,머신러닝,"서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",1 ~ 3년,정규직,"이러한 목표를 함께 이루고자 합니다:
트릿지의 Machine Learning Engineer 는 창의적인 사고를 바탕으로 머신러닝을 비롯한 데이터 프로세싱 기술을 활용하여 비즈니스를 혁신하는 솔루션을 만드는 역할을 수행하며, 데이터 이니셔티브에 대해 소프트웨어 개발자, 데이터베이스 설계자, 데이터 분석가를 지원하고 진행 중인 프로젝트 전반에 걸쳐 최적의 데이터 전달 아키텍처가 일관되도록 보장하는 책임을 가지고 있습니다.
이러한 업무를 주도적으로 수행합니다:
- 방대한 양의 누적 데이터를 분석하여 예측 값을 도출해냅니다.
- 새로운 API를 구축하여 데이터 볼륨과 복잡성의 지속적인 증가에 기여합니다.
- 요구 사항에 부합하는 머신러신 애플리케이션을 개발하는 데 협력합니다.
- 데이터 변환 및 정제, 기능 개발, 모델 구현에 대한 전반적인 업무에 참여합니다.
- 커스텀 데이터 알고리즘을 개발합니다.
- 백엔드 엔지니어 및 데이터 엔지니어와 긴밀하게 협력하여 머신러닝 모델을 개발합니다.","이러한 역량과 경험이 있는 분들을 찾습니다:
- 컴퓨터공학 또는 관련 분야의 학사 학위를 취득하신 분
- 데이터 사이언티스트 또는 머신 러닝 엔지니어로서 1년 이상의 경험을 보유하신 분
- 머신 러닝 기술에 대한 지식을 보유하신 분
- 구조화되지 않은 비정형 데이터에 대한 탄탄한 분석 스킬을 보유하신 분 (데이터 수집, 분석, 해석 및 시각화 포함)
- 데이터 과학 개념에 익숙하신 분
- SQL, Python 언어 사용에 능숙하신 분
- 높은 엔지니어링 역량으로 성공적인 머신러닝 프로젝트를 구축할 수 있는 분","이러한 강점이 있다면 더욱 좋습니다:
- 빅데이터 툴 경험을 보유하신 분 ( Hadoop, Spark, Kafka 등)
- Postgres 및 HBASE, Apache Cassandra 등을 포함한 관계형 SQL 및 NoSQL 데이터베이스 경험을 보유하신 분
- NoSQL 데이터베이스 사용 경험이 있으신 분
- 머신 러닝 프레임워크 사용 경험이 있으신 분
- 데이터 모델, 데이터 마이닝 및 세분화 기술에 대한 전문성을 갖추신 분
- SQL 데이터베이스 설계에 대한 실무 경험이 있으신 분
- 데이터 랭글링(Data Wrangling) 경험이 있으신 분
- 영어로 말하고 쓰실 수 있는 분 (비즈니스 레벨은 필요하지만 유창성은 필요하지 않음)"
12,상시 채용,상시 채용,트릿지,"서버/백엔드, 데이터 엔지니어","서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",3 ~ 10년,정규직,"이러한 목표를 함께 이루고자 합니다:
트릿지의 데이터 엔지니어는 창의적인 사고를 통해 Data Processing, Machine Learning 및 소프트웨어 개발 기술을 활용하여 트릿지의 비즈니스를 혁신하는 솔루션을 만드는 역할을 수행합니다.
트릿지 비즈니스의 출발점이 되는 모든 Data 관련 Engineering 프로젝트에 대해 소프트웨어 개발자, 데이터베이스 설계자, 데이터 분석가를 지원하고, 진행 중인 프로젝트 전반에 걸쳐 최적의 데이터가 전달되도록 아키텍처를 설계하고 구축하는 일을 담당합니다.
이러한 업무를 주도적으로 수행합니다:
- 최적의 데이터 파이프라인 아키텍처를 만들고 유지합니다.
- SQL 및 AWS '빅 데이터' 기술을 사용하여 다양한 데이터 소스에서 데이터를 최적으로 추출, 변환 및 로드하는 데 필요한 인프라를 구축합니다.
- 업계 최고 수준의 데이터 분석 툴을 빌드하고 최적화 하는 작업에 협력합니다.
- 머신 러닝 인프라를 개발하고 구현하는 데 협력합니다.
- 확장 가능한 데이터 파이프라인을 개발 및 유지 관리하는 데 협력하고 새로운 API를 구축하여 데이터 볼륨과 복잡성의 지속적인 증가를 지원합니다.
- 백엔드 엔지니어 및 머신러닝 엔지니어와 긴밀하게 협력하여 머신러닝 모델을 개발합니다.","이러한 역량과 경험이 있는 분들을 찾습니다:
- 컴퓨터공학 또는 관련 분야의 학사 또는 석사 학위를 취득하신 분
- 데이터 엔지니어로서 3년 이상의 경험을 보유하신 분
- 알고리즘 및 데이터 구조에 대한 높은 이해도를 보유하신 분
- '빅 데이터' 데이터 파이프라인, 아키텍처 및 데이터 세트 구축 및 최적화 작업을 경험하신 분
- 구조화되지 않은 비정형 데이터에 대한 탄탄한 분석 스킬을 보유하신 분
- SQL, Python 언어 사용에 능숙하신 분.
- 통계 프로그래밍에 대한 경험이 풍부하신분.
- 팀 환경에서 잘 일할 수 있으신 분
- 뛰어난 문제 해결 능력을 보유하신 분
- 영어로 커뮤니케이션 할 수 있으신 분 (비즈니스 레벨은 필요하지만 유창함은 필요하지 않음)","이러한 강점이 있다면 더욱 좋습니다:
- 빅데이터 툴 경험: Hadoop, Spark, Kafka 등
- Postgres 또는 HBASE, Apache Cassandra 등을 포함한 관계형 SQL 및 NoSQL 데이터베이스 경험.
- Jupyter Notebook, TensorFlow, Pytorch 등 경험자.
- 머신러닝 프레임워크 경험.
- 데이터 모델, 데이터 마이닝 및 세분화 기술에 대한 기술적 전문성.
- SQL 데이터베이스 설계에 대한 실무 경험.
- ETL 도구에 대한 지식.
- 영어로 원활히 말하고 쓰실 수 있으신 분"
13,상시 채용,상시 채용,트릿지,"서버/백엔드, 웹 풀스택","서울특별시 서초구 방배로 226, 4, 5, 6층(방배동, 넥센강남타워)",3 ~ 10년,정규직,"이러한 목표를 함께 이루고자 합니다:
트릿지의 Backend Application Engineer (Python) 는 국제 무역 거래 플랫폼에서 발생하는 다양한 비즈니스 요구사항과 기술적 문제들을 풀어 나갑니다.
전세계에 분포한 유저를 대상으로 24시간 365일 오퍼레이팅하는 무역 플랫폼의 특성상, 트릿지의 백엔드 엔지니어는 웹개발 역량뿐만 아니라, 무역 비즈니스 로직의 복잡성을 이해하고, 가용성과 현지화(번역,시차 등)를 통합적으로 사고할 수 있는 역량이 요구되기도 합니다.
이처럼 트릿지의 백엔드 엔지니어가 해결하고자 하는 문제의 난이도가 높고 방대한 데이터를 다루는만큼, 엔지니어링 팀이 창출하는 임팩트는 정보 불균형을 해소하고자 하는 기업의 비전과 가장 맞닿아 있으며, 데이터 구조와 알고리즘, 캐싱, 인프라스트럭처까지 다방면의 기술을 다루고 있습니다.
이러한 업무를 주도적으로 수행합니다:
- 유저들이 사용하는 플랫폼과 Back Office를 백엔드개발자의 관점에서 오너십을 가지고 개발 합니다.
- 백엔드 기술 방향성에 직접적인 영향에 기여하고 Product와 Engineering팀의 확장을 돕습니다.
- 코드 리뷰에 참여하여 안정되고 수준 높은 Codebase를 유지합니다.
- 애플리케이션, 인프라, 데이터셋 분석, 번역시스템 등 많은 기술적인 개선을 합니다.
- PM, 디자이너 등 Product Team 동료들과 긴밀하게 협업하고 최상의 전략을 구상합니다.
- 주니어 엔지니어들의 성장과 실력향상을 촉진시킵니다.","이러한 역량과 경험이 있는 분들을 찾습니다:
- 웹 애플리케이션을 위한 Backend 구축에 3년 이상 경험을 가지신 분(스택 관계 없음)
- DevOps와 Infrastructure에 익숙하신 분
- Python 및 Django(또는 Flask) 사용 경험
- 비즈니스 요구사항에 따른 데이터베이스 모델링 경험
- 영어로 커뮤니케이션 할 수 있는 능력 (비즈니스 레벨은 필요하지만 유창함은 필요하지 않음)","이러한 강점이 있다면 더욱 좋습니다:
- GraphQL 및 서버 구현 경험을 보유하신 분
- 일반 소프트웨어 아키텍처(DDD, 클린 아키텍처 등)에 대한 지식과 경험을 보유하신 분
- 설계 검토에서 배치에 이르기까지 백엔드 설계 의사 결정을 이끈 경험을 보유하신 분
- 다국적 팀원으로 구성된 글로벌한 환경에서 개발자로서 커리어를 희망하시는 분
- 영어로 능숙하게 커뮤니케이션이 가능하신 분"
14,상시 채용,상시 채용,트릿지,"서버/백엔드, 웹 풀스택, 데이터 엔지니어","서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",경력 무관,정규직,"이러한 목표를 함께 이루고자 합니다:
트릿지의 Backend Application Engineer 는 국제 무역 거래 플랫폼에서 발생하는 다양한 비즈니스 요구사항과 기술적 문제들을 풀어 나갑니다.
전세계에 분포한 유저를 대상으로 24시간 365일 오퍼레이팅하는 무역 플랫폼의 특성상, 트릿지의 백엔드 엔지니어는 웹개발 역량뿐만 아니라, 무역 비즈니스 로직의 복잡성을 이해하고, 가용성과 현지화(번역,시차 등)를 통합적으로 사고할 수 있는 역량이 요구되기도 합니다.
이처럼 트릿지의 백엔드 엔지니어가 해결하고자 하는 문제의 난이도가 높고 방대한 데이터를 다루는만큼, 엔지니어링 팀이 창출하는 임팩트는 정보 불균형을 해소하고자 하는 기업의 비전과 가장 맞닿아 있으며, 데이터 구조와 알고리즘, 캐싱, 인프라스트럭쳐까지 다방면의 기술을 다루며 폭발적인 성장이 가능한 포지션입니다.
이러한 업무를 주도적으로 수행합니다:

- 소비자들과 트릿지 구성원들이 사용하는 제품의 백엔드 환경을 구현합니다.
- 지속적인 기술향상을 위해 테스트 케이스 작성과 최적화 그리고 리팩터링에 참여합니다.
- 다양한 기술 스택들을 배울 수 있는 기회를 만나게 됩니다. (DevOps, Data Science, Kubernetes 등)","이러한 역량과 경험이 있는 분들을 찾습니다:
- 컴퓨터 공학 관련 학위를 소지하거나 6개월 이상 개발 경험이 있으신 분
- 탄탄한 공학 지식을 가지고 계신분 (자료구조, 알고리즘, 개발관련 컨셉)
- Python이나 Javascript 경험이 있으신 분
- 호기심이 많고 배우려는 자세를 가지신 분","이러한 강점이 있다면 더욱 좋습니다:
- Django 혹은 Flask 경험이 있으신 분
- 데이터베이스에 대해 잘 알고 모델링 경험이 있으신 분
- 적극적으로 커뮤니케이션하고 실행력이 있는 분
- 비즈니스 레벨의 영어 커뮤니케이션이 가능하신 분"
15,상시 채용,상시 채용,트릿지,"프론트엔드, 웹 풀스택","서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",2 ~ 10년,정규직,"이러한 목표를 함께 이루고자 합니다:
트릿지의 엔지니어는 B2B 시장에서 기술을 통해 글로벌 무역 거래의 정보 비대칭성 해소, 적재적소의 바이어 및 공급자 검색 등 글로벌 무역 업계에 다양한 해결책을 제시합니다. 지금도 수십만명의 기업 고객들이 트릿지 플랫폼을 통해 새로운 거래 방식을 만들어 내고 고질적인 문제를 해결하고 있습니다.
이러한 업무를 주도적으로 수행합니다:
- React, GraphQL를 활용한 웹서비스 전반의 설계, 구현 및 그에 필요한 의사결정에 참여합니다.
- D3.js 기반으로 데이터 시각화 모듈을 개발하고, 해당 라이브러리의 오픈소스화에 기여합니다.
- QA 및 테스트 자동화를 위한 시스템을 설계하고 구현합니다.
- Search Engine Optimization를 통해 유저 트래픽 향상에 기여하며 마케팅팀과 긴밀하게 협업합니다.
- 치열한 코드 리뷰와 기술 논의를 통해 팀의 전체적인 성장 및 업무 프로세스의 개선에 참여합니다.
- Ionic 기반의 Cross-Platform 하이브리드앱을 구현하며 추상화 및 재사용성 개선에 참여합니다.","이러한 역량과 경험이 있는 분들을 찾습니다:
- 2년 이상 프론트엔드 개발 경험이 있으신 분
- Javascript, HTML, CSS에 대한 높은 기술적 이해도를 가지신 분
- Refactoring의 필요성을 이해하고 그에 대한 경험이 있으신 분
- 자동화에 대한 경험이 있으신 분
- 설계, 구현에 대한 전반적 관리가 가능한 분
- 팀 전체의 성장에 대해 함께 고민해 나갈 분","이러한 강점이 있다면 더욱 좋습니다:
- 높은 수준의 React 기반의 제품을 만들어 본 경험이 있는 분
- QA 및 테스트 시스템을 설계하고 관리해 본 경험이 있는 분
- SSR, SEO에 대한 높은 수준의 이해도를 가지고 있는 분
- D3를 통해 데이터 시각화 모듈을 만들어 본 경험이 있는 분
- 모바일 하이브리드 앱 개발 경험이 있는 분
- 컴퓨터 공학 연관 전공 학위를 소지하신 분"
16,2022-11-11 17:06,2022-11-19 17:06,클레온,"머신러닝, 인공지능(AI)",서울시 성동구 연무장5길 9-16 블루스톤타워 306호 클레온 기업부설연구소,2 ~ 10년,정규직,"- 딥러닝 서비스를 제공하기 위해, 딥러닝 모델을 처리 프로세스에 맞게 연동하고 API화합니다.
- 딥러닝 서비스 프로파일링을 통해 병목현상을 발견하고 더 좋은 알고리즘이나 디자인을 제안합니다.
- 병렬 컴퓨팅 등 최적화로 딥러닝 서비스를 원활하게 제공합니다.","-딥러닝 엔지니어 경력 2년 이상 (신입의 경우, 석사 이상 경력 인정)
- Python 또는 C++ 중 하나의 언어 능숙하게 사용 가능
- PyTorch, Tensorflow 등의 딥러닝 프레임워크로 이뤄진 모델 다뤄본 경험
- 전문 연구원(병역 특례) 가능","- 맡은 업무에 대한 책임감이 뛰어나고, 사람들에게 편의를 제공해주고자 하는 열의
- 딥러닝 기반 실 서비스 개발 및 운영 경험
- Ray, Dask 등 병렬처리 프레임워크 이용 경험
- 컴퓨터 비전, 이미지 및 동영상 처리 등 관련 경험
- RESTful API 개발 경험
- 메시지 큐를 사용하여 작업 스케쥴링을 해본 경험
- TensorRT 등 딥러닝 모델 경량화 경험
- Triton Inference Server와 같은, 딥러닝 작업 처리 서버 구축 경험"
17,2022-11-11 17:05,2022-11-19 17:05,클레온,서버/백엔드,서울시 중구 소월로2길 30 티타워 18층 클레온,2 ~ 3년,정규직,"우리가 하는 업무는 클레온에서 매우 중요해요. 우리는 다음과 같은 업무를 해요.
- 클레온의 모든 서비스에서 결재/정산/혜택/쿠폰 플랫폼을 담당해요.
- 모든 서비스를 뒷받침 하는 서버 플랫폼 개발자, 장애와 관련 있는 부분을 모니터링 하는 SRE, 배포 파이프라인을 고도화하는 DevOps와 긴밀하게 협업해요.
- 서비스 장애가 생겨도 빠른 시간 내에 복구할 수 있도록 만반의 준비를 하고, 늘 안정적으로 운영될 수 있도록 지원
- 클래온 고객분들이 이용하시는 서비스 뒷단의 모든 결재/정산/혜택/쿠폰 프로세스 개발해요.
- 확장 가능한 모듈 구조를 고민하고 개선해요.
- 개발 및 배포 환경을 개선해요.
- 서로의 코드를 공유하고 리뷰해요.
- 테크 센터의 다양한 기술 세미나에 참여해요.
- 최신 기술을 함께 학습하고 공유해요.","당신의 다음과 같은 경험은 클레온에서 빛 날거예요. 잊지말고 꼭 이력서에 작성해주세요.
- 웹/앱 서버 어플리케이션 실무 3년차 이상 또는 그에 준하는 역량을 보유하시면 좋아요.
- Java/Kotlin, Spring Framework(Spring Boot)를 잘 이해하고 활용 가능 하셔야 해요.
- JPA를 활용한 ORM 방식의 개발 경험이 필요해요.
- MySQL 등의 RDBMS 경험이 필요해요.
- 고가용성의 확장 가능한 시스템을 설계하고 운영해본 경험이 있는 분이 필요해요.
- 대규모의 실시간 트래픽을 처리하는 시스템 개발 경험이 있는 분이 필요해요.
- AWS를 활용한 서비스 개발 및 배포의 경험이 필요해요.
- 대용량 트래픽을 빠르고 안정적으로 처리할 수 있도록 고민하고 개발해본 경험이 필요해요.","- MSA와 EDA를 적용한 경험이 있으면 좋아요.
- NoSQL, Cashe 등의 활용을 통해 성능 개선의 경험을 기술해 주세요.
- 서비스에 대한 애착이 강해서 ‘내 서비스’라는 마음으로 일하는 분이 필요해요.
- 서비스 개발을 하면서 얻게 되는 새로운 인사이트나 아이디어에 대해서도 공유하며, 끊임없이 기술적인 도전을 하고 싶은 분과 함께하고 싶어요.
- 문제를 발견해서 적극적으로 개선해본 경험이 있다면, 어떤 기술 스택을 사용하여 어느 정도 개선 했는지 구체적으로 적어주세요!
- 서비스 초기단계에 참여해본 경험이 있다면 기술해주세요.
- Jira, Confluence 등 협업툴 사용 경험이 있으시면 좋아요.
- 저희는 특정 기술 스택이나 프레임워크의 지식보다는 탄탄한 기본기, 논리 적 사고력과 추론 능력 그리고 실제 코드 구현 능력을 중요하게 생각해요."
18,2022-11-11 17:04,2022-11-19 17:04,클레온,서버/백엔드,"서울 중구 소월로2길 30, (남대문로5가, 남산트라팰리스) 티타워 18층 클레온",2 ~ 15년,정규직,"- 딥 휴먼 기술로 디지털 혁신을 만들고, 이를 통해 아름다운 경험을 제공하는 Product 서버를 설계하고 개발해요
- 최고의 가치를 제공하기 위해 시스템 서비스 설계부터 운영까지 보이지 않는 모든 일에 투입되어요. 
- 트랜디한 기술을 활용하여 서비스가 안정적으로 운영될 수 있도록 하며, 유저들의 보이스를 듣고 빠르고 유연하게 문제를 해결해요. 
- 확장 가능한 모듈 구조를 고민하고 개선해요.
- 개발 및 배포 환경을 개선해요.
- 서로의 코드를 공유하고 리뷰해요.
- 테크 센터의 다양한 기술 세미나에 참여해요.
- 최신 기술을 함께 학습하고 공유해요.","우리가 사용하는 기술은 다음과 같아요. 우리는 최신 기술을 학습하고 사용하는 것을 좋아해요.
Kotlin, Java
Spring Mvc, Spring Boot, Spring Batch
JPA, MySQL, Redis
Git, Docker, Jenkins
Kafka, ELK

당신의 다음과 같은 경험은 클레온에서 빛 날거예요. 잊지말고 꼭 이력서에 작성해주세요.

고가용성의 확장 가능한 시스템을 설계하고 운영해본 경험이 있는 분이 필요해요.
대규모의 실시간 트래픽을 처리하는 시스템 개발 경험이 있는 분이 필요해요.
장애를 경험하고 문제를 해결해보신 경험이 있는 분이 필요해요.
서비스에 대한 애착이 강해서 ‘내 서비스’라는 마음으로 일하는 분이 필요해요.
대용량 트래픽을 빠르고 안정적으로 처리할 수 있도록 고민하고 개발해본 경험이 필요해요.
저희는 특정 기술 스택이나 프레임워크의 지식보다는 탄탄한 기본기, 논리 적 사고력과 추론 능력 그리고 실제 코드 구현 능력을 중요하게 생각해요.","서비스 개발을 하면서 얻게 되는 새로운 인사이트나 아이디어에 대해서도 공유하며, 끊임없이 기술적인 도전을 하고 싶은 분과 함께하고 싶어요.
문제를 발견해서 적극적으로 개선해본 경험이 있다면, 어떤 기술 스택을 사용하여 어느 정도 개선 했는지 구체적으로 이력서에 작성해주세요!
서비스 초기단계에 참여해본 경험이 있다면 기술해주세요.
Jira, Confluence 등 협업툴 사용 경험이 있으시면 좋아요."
19,2022-11-11 17:03,2022-11-19 17:03,클레온,서버/백엔드,"서울 중구 소월로2길 30, (남대문로5가, 남산트라팰리스) 티타워 18층 클레온",2 ~ 15년,정규직,"- 딥 휴먼 기술로 디지털 혁신을 만들고, 이를 통해 아름다운 경험을 제공하는 Product 서버를 설계하고 개발해요
- 최고의 가치를 제공하기 위해 시스템 서비스 설계부터 운영까지 보이지 않는 모든 일에 투입되어요. 
- 트랜디한 기술을 활용하여 서비스가 안정적으로 운영될 수 있도록 하며, 유저들의 보이스를 듣고 빠르고 유연하게 문제를 해결해요. 
- 확장 가능한 모듈 구조를 고민하고 개선해요.
- 개발 및 배포 환경을 개선해요.
- 서로의 코드를 공유하고 리뷰해요.
- 테크 센터의 다양한 기술 세미나에 참여해요.
- 최신 기술을 함께 학습하고 공유해요.","우리가 사용하는 기술은 다음과 같아요. 우리는 최신 기술을 학습하고 사용하는 것을 좋아해요.
Kotlin, Java
Spring Mvc, Spring Boot, Spring Batch
JPA, MySQL, Redis
Git, Docker, Jenkins
Kafka, ELK

당신의 다음과 같은 경험은 클레온에서 빛 날거예요. 잊지말고 꼭 이력서에 작성해주세요.

고가용성의 확장 가능한 시스템을 설계하고 운영해본 경험이 있는 분이 필요해요.
대규모의 실시간 트래픽을 처리하는 시스템 개발 경험이 있는 분이 필요해요.
장애를 경험하고 문제를 해결해보신 경험이 있는 분이 필요해요.
서비스에 대한 애착이 강해서 ‘내 서비스’라는 마음으로 일하는 분이 필요해요.
대용량 트래픽을 빠르고 안정적으로 처리할 수 있도록 고민하고 개발해본 경험이 필요해요.
저희는 특정 기술 스택이나 프레임워크의 지식보다는 탄탄한 기본기, 논리 적 사고력과 추론 능력 그리고 실제 코드 구현 능력을 중요하게 생각해요.","서비스 개발을 하면서 얻게 되는 새로운 인사이트나 아이디어에 대해서도 공유하며, 끊임없이 기술적인 도전을 하고 싶은 분과 함께하고 싶어요.
문제를 발견해서 적극적으로 개선해본 경험이 있다면, 어떤 기술 스택을 사용하여 어느 정도 개선 했는지 구체적으로 이력서에 작성해주세요!
서비스 초기단계에 참여해본 경험이 있다면 기술해주세요.
Jira, Confluence 등 협업툴 사용 경험이 있으시면 좋아요."
20,2022-11-11 17:01,2022-11-19 17:02,클레온,"머신러닝, 인공지능(AI)",서울시 성동구 연무장5길 9-16 블루스톤타워 306호 클레온 기업부설연구소,경력 무관,정규직,"- 딥러닝 서비스를 제공하기 위해, 딥러닝 모델을 처리 프로세스에 맞게 연동하고 API화합니다.
- 딥러닝 서비스 프로파일링을 통해 병목현상을 발견하고 더 좋은 알고리즘이나 디자인을 제안합니다.
- 병렬 컴퓨팅 등 최적화로 딥러닝 서비스를 원활하게 제공합니다.","-딥러닝 엔지니어 경력 2년 이상 (신입의 경우, 석사 이상 경력 인정)
- Python 또는 C++ 중 하나의 언어 능숙하게 사용 가능
- PyTorch, Tensorflow 등의 딥러닝 프레임워크로 이뤄진 모델 다뤄본 경험
- 전문 연구원(병역 특례) 가능","- 맡은 업무에 대한 책임감이 뛰어나고, 사람들에게 편의를 제공해주고자 하는 열의
- 딥러닝 기반 실 서비스 개발 및 운영 경험
- Ray, Dask 등 병렬처리 프레임워크 이용 경험
- 컴퓨터 비전, 이미지 및 동영상 처리 등 관련 경험
- RESTful API 개발 경험
- 메시지 큐를 사용하여 작업 스케쥴링을 해본 경험
- TensorRT 등 딥러닝 모델 경량화 경험
- Triton Inference Server와 같은, 딥러닝 작업 처리 서버 구축 경험"
21,2022-11-11 17:01,2022-11-19 17:01,클레온,서버/백엔드,서울시 중구 소월로2길 30 티타워 18층 클레온,2 ~ 10년,정규직,"우리가 하는 업무는 클레온에서 매우 중요해요. 우리는 다음과 같은 업무를 해요.
- 딥 휴먼 기술로 디지털 혁신을 만들고, 이를 통해 아름다운 경험을 제공하는 Product 서버를 설계하고 개발해요
- 최고의 가치를 제공하기 위해 시스템 서비스 설계부터 운영까지 보이지 않는 모든 일에 투입되어요.
- 트랜디한 기술을 활용하여 서비스가 안정적으로 운영될 수 있도록 하며, 유저들의 보이스를 듣고 빠르고 유연하게 문제를 해결해요.
- 확장 가능한 모듈 구조를 고민하고 개선해요.
- 개발 및 배포 환경을 개선해요.
- 서로의 코드를 공유하고 리뷰해요.
- 테크 센터의 다양한 기술 세미나에 참여해요.
- 최신 기술을 함께 학습하고 공유해요.","우리가 사용하는 기술은 다음과 같아요. 우리는 최신 기술을 학습하고 사용하는 것을 좋아해요.
- Kotlin, Java
- Spring Mvc, Spring Boot, Spring Batch
- JPA, MySQL, Redis
- Git, Docker, Jenkins
- Kafka, ELK
당신의 다음과 같은 경험은 클레온에서 빛 날거예요. 잊지말고 꼭 이력서에 작성해주세요.
- 고가용성의 확장 가능한 시스템을 설계하고 운영해본 경험이 있는 분이 필요해요.
- 대규모의 실시간 트래픽을 처리하는 시스템 개발 경험이 있는 분이 필요해요.
- 장애를 경험하고 문제를 해결해보신 경험이 있는 분이 필요해요.
- 서비스에 대한 애착이 강해서 ‘내 서비스’라는 마음으로 일하는 분이 필요해요.
- 대용량 트래픽을 빠르고 안정적으로 처리할 수 있도록 고민하고 개발해본 경험이 필요해요.
- 저희는 특정 기술 스택이나 프레임워크의 지식보다는 탄탄한 기본기, 논리 적 사고력과 추론 능력 그리고 실제 코드 구현 능력을 중요하게 생각해요.","- 서비스 개발을 하면서 얻게 되는 새로운 인사이트나 아이디어에 대해서도 공유하며, 끊임없이 기술적인 도전을 하고 싶은 분과 함께하고 싶어요.
- 문제를 발견해서 적극적으로 개선해본 경험이 있다면, 어떤 기술 스택을 사용하여 어느 정도 개선 했는지 구체적으로 이력서에 작성해주세요!
- 서비스 초기단계에 참여해본 경험이 있다면 기술해주세요.
- Jira, Confluence 등 협업툴 사용 경험이 있으시면 좋아요."
22,2022-11-11 17:01,2022-11-19 17:01,클레온,머신러닝,서울시 중구 소월로2길 30 티타워 18층 클레온,2 ~ 10년,정규직,"음성 합성 기술 개발
TTS (Text to Speech) 모델 성능 고도화
Few-shot TTS 기술 개발
Voice Conversion 기술 개발
STS (Speech to Speech) 기술 개발","딥러닝 경력 2년이상(석사이상 경력 인정)
Pytorch 사용 경험
전문 연구원(병역 특례) 가능","딥러닝 혹은 유사 분야 논문 작성 경험
논문 해석 및 Oral Presentation 이해가능한 영어실력
새로운 연구에 대해 적극적이고 주도적인 분
최신 기술 트렌드를 빨리 캐치하고 적용할 수 있는 분"
